Architect,HQ Country,UK Presence,DK Presence,NO Presence,DE Presence,UAE Presence,SG Presence,US Presence,BD Rank 2023,International Portfolio,Complex Projects,High Rise Buildings,Current Relationship,Align with Values,Architects Employed,Turnover(in USD millions),Locations,Website
Gensler,US,1,0,0,1,1,1,1,1,20,6,7,1,6,3069,1250,53,https://www.gensler.com/
HDR,US,1,0,0,1,1,1,1,2,15,4,4,1,5,1404,550,203,https://www.hdrinc.com/
Nikken Sekkei,Japan,0,0,0,0,1,1,0,3,7,6,7,1,5,1342,650,20,https://www.nikken.co.jp/en/
Perkins Eastman,US,0,0,0,0,1,1,1,6,18,5,6,1,5,832,275,22,https://www.perkinseastman.com/studios/
Haeahn Architecture,South Korea,0,0,0,0,0,0,0,7,10,4,4,1,4,741,145,3,http://m.haeahn.com/index.do
Heerim Architects & Planners,South Korea,0,0,0,0,0,0,1,8,17,7,7,1,3,727,175,15,https://www.heerim.com/en/index.php?ckattempt=1
DLR Group,US,0,0,0,0,1,0,1,9,10,4,7,1,5,712,345,33,https://www.dlrgroup.com/
HKS,US,1,0,0,0,1,1,1,10,10,5,5,1,6,707,295,29,https://www.hksinc.com/
CannonDesign,US,0,0,0,0,0,0,1,11,6,5,4,1,6,705,225,18,https://www.cannondesign.com/
Aedas,China,1,0,0,0,1,1,1,12,8,7,6,1,5,684,225,13,https://www.aedas.com/
Surbana Jurong,Singapore,0,0,0,0,1,1,0,13,33,6,6,1,5,677,105,120,https://surbanajurong.com/
SmithGroup,US,0,0,0,0,0,0,1,14,4,3,3,1,4,670,255,20,https://www.smithgroup.com/
ATP Architects Engineers,Austria,0,0,0,1,0,0,0,15,3,2,2,1,3,591,135,16,https://www.atp.ag/integrated-design/
Nihon Sekkei,Japan,0,0,0,0,0,0,0,17,4,4,6,1,4,575,155,6,https://www.nihonsekkei.co.jp/?lang=en
GMP Architekten,Germany,0,0,0,1,0,0,0,18,6,6,4,1,4,541,95,8,https://www.gmp.de/en/
HPP Architekten,Germany,0,0,0,1,0,0,0,20,10,5,4,1,6,529,55,13,https://www.hpp.com/en/
ZGF Architects,US,0,0,0,0,0,0,1,21,2,4,2,1,3,484,145,7,https://www.zgf.com/
Foster + Partners,UK,1,0,0,0,1,1,1,22,47,8,7,1,7,483,315,16,https://www.fosterandpartners.com/
HOK,US,1,0,0,0,1,1,1,23,0,0,0,1,0,464,295,0,https://www.hok.com/
BDP,UK,1,0,0,0,1,1,1,24,10,6,2,1,6,447,95,19,https://www.bdp.com/
Kume Sekkei,Japan,0,0,0,0,0,1,0,26,3,4,4,1,3,419,115,7,https://www.kumesekkei.co.jp/en/
Mitsubishi Jisho Design,Japan,0,0,0,0,0,0,0,27,3,2,4,1,2,411,165,12,https://www.mjd.co.jp/en/
NBBJ,US,1,0,0,0,0,0,1,28,5,5,3,1,6,410,255,12,https://www.nbbj.com/
LWK + Partners,China,0,0,0,0,1,1,0,29,4,6,5,1,4,400,95,11,https://www.lwkp.com/
Zaha Hadid Architects,UK,1,0,0,0,0,0,0,31,25,9,5,1,3,371,75,2,https://www.zaha-hadid.com/
Link Arkitektur,Norway,0,1,1,0,0,0,0,32,2,3,1,1,6,352,65,17,https://linkarkitektur.com/en
Kunwon,South Korea,0,0,0,0,0,0,0,33,2,3,6,1,3,351,105,1,https://www.kunwon.com/en/main/main.php
National Engineering Bureau,UAE,0,0,0,0,1,0,0,34,4,5,8,1,1,346,65,8,https://www.neb.ae/
DLN Architects,China,0,0,0,0,0,0,0,35,3,4,6,1,2,335,0,4,https://www.dln.com.hk/
Arep,France,0,0,0,0,0,0,0,36,5,3,2,1,4,315,65,4,https://www.arep.fr/en/home-english/
Lemay,Canada,0,0,0,0,0,0,1,36,3,3,4,1,3,315,105,6,https://lemay.com/
PBK Architects,US,0,0,0,0,0,0,1,38,3,4,1,1,2,313,175,25,https://pbk.com/
Dewan Architects + Engineers,UAE,0,0,0,0,1,0,0,41,3,4,5,1,2,294,65,8,https://dewan-architects.com/
Allford Hall Monaghan Morris,UK,1,0,0,0,0,0,0,42,3,3,4,1,6,291,55,5,https://www.ahmm.co.uk/
10 Design,China,1,0,0,0,1,1,1,43,5,6,6,1,4,282,65,9,https://www.10design.co/
Idom,Spain,1,1,0,1,1,0,1,44,30,4,2,1,3,280,55,25,https://www.idom.com/en/
Wong Tung & Partners,China,0,0,0,0,0,0,0,45,2,5,7,1,2,276,55,4,https://www.wongtung.com/en/home/
P&T Group,China,0,0,0,0,1,1,0,46,6,3,1,1,2,271,115,12,https://web.p-t-group.com/
